retrieval_method,chunking_method,run,question_id,question,answers,correct_answer,paper_reference,retrieved_chunks,llm_answer,llm_source,is_x,answer_correct,source_correct,latency
dense,recursive,2,29,What is the observed effect of increasing the compression rate to 64 on model capability?,"{'A': 'Performance continues to improve due to stronger regularization.', 'B': 'Latency improves but perplexity remains unchanged.', 'C': 'Performance diminishes, suggesting a practical limit beyond which capability degrades.', 'D': 'Training diverges unless the encoder is made significantly larger.'}",C,"We observe a performance regression as
the compression rate increases; however, even at a compression rate of 32, our model remains competitive
(as shown in table 1). In contrast, a compression rate of 64 appears to be overly aggressive, resulting in
diminished performance. These findings suggest a practical limit to the compression rate beyond which the
model’s capability is significantly reduced.","['recursive_chunk_032', 'recursive_chunk_044', 'recursive_chunk_097']",C,['recursive_chunk_032'],False,True,True,0.62
dense,recursive,2,30,What mechanism enables extending effective context beyond the original 4k window without modifying the decoder’s positional encoding?,"{'A': 'Rotary positional scaling applied during fine-tuning.', 'B': 'Speculative decoding that predicts future tokens to compress the prompt.', 'C': 'Using chunk embeddings to extrapolate context length and support broader applications.', 'D': 'LoRA adapters that re-parameterize the attention projections.'}",C,"The original Llama-2-7B supports only a 4k context window, whereas our approach enables extrapolation via
chunk embeddings, extending context and supporting broader applications.","['recursive_chunk_007', 'recursive_chunk_007', 'recursive_chunk_049']",C,"['recursive_chunk_007', 'recursive_chunk_049']",False,True,False,0.409
dense,recursive,2,31,How does REFRAG change the scaling of attention computation during decoding when using compressed context?,"{'A': 'It makes attention computation linear in the number of tokens regardless of context size.', 'B': 'It keeps quadratic scaling in the number of tokens but reduces constant factors with caching.', 'C': 'It makes attention computation scale quadratically with the number of chunks rather than the number of tokens.', 'D': 'It changes attention complexity to cubic in the number of chunks to better model cross-chunk interactions.'}",C,"This approach offers three main advantages: 1) It shortens the decoder’s input length, improving token allocation efficiency; 2) It enables reuse of pre-computed chunk embeddings from retrieval, eliminating redundant computation; and 3) It reduces attention computation complexity, which now scales quadratically with the number of chunks rather than the number of tokens in the context.","['recursive_chunk_033', 'recursive_chunk_007', 'recursive_chunk_049']",C,"['recursive_chunk_007', 'recursive_chunk_049']",False,True,True,0.695
dense,recursive,2,32,What is the theoretical acceleration in TTFT/throughput that REFRAG can achieve for short versus long contexts as a function of the compression rate k?,"{'A': 'Up to k× for long contexts and no improvement for short contexts.', 'B': 'Up to k× for both short and long contexts.', 'C': 'Up to k× for short contexts and up to k²× for long contexts.', 'D': 'Up to √k× for short contexts and linear in k for long contexts.'}",C,"Theoretical analysis (appendix A) shows that for short context lengths, our method achieves up to k× acceleration in TTFT and throughput.
For longer context length, acceleration reaches up to k2× for both metrics.","['recursive_chunk_013', 'recursive_chunk_013', 'recursive_chunk_013']",C,['recursive_chunk_013'],False,True,True,0.5
dense,recursive,2,33,"At a context length of 16,384 with compression rate k = 16, what TTFT acceleration does REFRAG achieve with and without cached chunk embeddings?","{'A': '2.01× with cache and 1.04× without cache.', 'B': '8.59× with cache and 16.53× without cache.', 'C': '16.53× with cache and 8.59× without cache.', 'D': '32.99× with cache and 3.75× without cache.'}",C,"With a context length of 16384 (mid-to-long context), REFRAG with k = 16 achieves 16.53× TTFT acceleration with cache and 8.59× without cache, both surpassing CEPE (2.01× and 1.04×, respectively), while achieving 9.3% performance (measured by perplexity) compared to CEPE (table 1).","['recursive_chunk_013', 'recursive_chunk_013', 'recursive_chunk_023']",C,"['recursive_chunk_013', 'recursive_chunk_023']",False,True,False,0.422
dense,recursive,2,34,"During the reconstruction task used in continual pre-training, which components are updated and what behavior does the task encourage?","{'A': 'The decoder and projection layer are trained, encouraging reliance on parametric memory.', 'B': 'Only the decoder is trained, encouraging the model to ignore context memory.', 'C': 'The decoder is frozen while the encoder and projection layer are trained, encouraging reliance on context memory.', 'D': 'Only the encoder is frozen, encouraging stronger cross-attention to question tokens.'}",C,"In this task, we freeze the decoder model and only train the encoder and projection layer. The main objectives are to align the encoder and projection layer so that: 1) encoder can compress k tokens with minimal information loss, and 2) projection layer can effectively map the encoder’s chunk embeddings into the decoder’s token space, allowing the decoder to interpret and accurately reconstruct the original information. The reconstruction task was specifically chosen to encourage the model to rely on context memory rather than its parametric memory during training.","['recursive_chunk_029', 'recursive_chunk_029', 'recursive_chunk_029']",C,['recursive_chunk_029'],False,True,False,0.567
dense,recursive,2,35,How is curriculum learning applied to the reconstruction task to address optimization difficulty as k and the number of chunks increase?,"{'A': 'By starting with all chunks reconstructed at once and progressively pruning tokens using scheduled sampling.', 'B': 'By freezing the encoder and gradually unfreezing layers of the decoder based on validation loss.', 'C': 'By beginning with reconstructing a single chunk and gradually increasing to multiple chunks while adjusting the data mixture toward harder examples over time.', 'D': 'By replacing ground-truth tokens with model predictions earlier in training to induce robustness to errors.'}",C,"Curriculum learning incrementally increases task difficulty, enabling the model to gradually and effectively acquire complex skills. For the reconstruction task, training begins with reconstructing a single chunk: the encoder receives one chunk embedding c1 for x1:k and the decoder reconstructs the k tokens using the projected chunk embedding. Subsequently, the model reconstructs x1:2k from two chunk embeddings, and so forth. To continuously adjust task difficulty, we vary the data mixture over time, starting with easier tasks and gradually shifting toward more difficult tasks.","['recursive_chunk_018', 'recursive_chunk_018', 'recursive_chunk_029']",C,['recursive_chunk_018'],False,True,True,0.526
dense,recursive,2,36,"What signal drives REFRAG’s RL-based selective compression policy, and which property of the decoder does the policy explicitly preserve?","{'A': 'Policy gradient on token-level cross-entropy, preserving bidirectional attention.', 'B': 'Entropy regularization on chunk selection, preserving causal masking.', 'C': 'Next-paragraph prediction perplexity as a negative reward, preserving the decoder’s autoregressive property.', 'D': 'Contrastive loss between chunks, preserving cross-document attention.'}",C,"A RL policy, guided by next-paragraph prediction perplexity as a negative reward, determines which chunks to retain in their original form. The encoder and decoder are fine-tuned to handle mixed inputs of compressed and uncompressed chunks. The policy network leverages chunk embeddings and masking to optimize sequential chunk expansion, thereby preserving the decoder’s autoregressive property and enabling flexible placement of compression.","['recursive_chunk_032', 'recursive_chunk_032', 'recursive_chunk_030']",C,['recursive_chunk_032'],False,True,False,0.562
dense,recursive,2,37,Which compression rate delivers a 9.3% average perplexity improvement over CEPE across four datasets according to the reported results?,"{'A': '4', 'B': '8', 'C': '16', 'D': '32'}",C,"With a compression rate of 16, we achieve a 9.3% average perplexity improvement over CEPE across four datasets. Meanwhile, our method is 16.53× faster than LLaMA in TTFT and 2.01× faster than CEPE.","['recursive_chunk_030', 'recursive_chunk_024', 'recursive_chunk_014']",C,['recursive_chunk_024'],False,True,True,0.727
dense,recursive,2,38,What is the scale and composition of the continual pre-training corpus used to align the encoder and decoder?,"{'A': '627B tokens from CommonCrawl only with heavy deduplication.', 'B': '10B tokens from Wikipedia and StackExchange in equal proportions.', 'C': '20B tokens consisting of 50% ArXiv and 50% Book domains from SlimPajama.', 'D': '1.1M instruction-tuning examples spanning five domains.'}",C,We use the SlimPajama dataset… We only use the Book and ArXiv domains from the dataset since these two domains contain long texts. We sampled from this dataset to construct a 20B token training dataset which contains 50% data from Arxiv and 50% data from Book.,"['recursive_chunk_016', 'recursive_chunk_017', 'recursive_chunk_011']",X,[],True,False,,0.595
dense,recursive,2,39,"Which retriever and corpus specification are used to obtain passages for RAG, including corpus size and passage length constraint?","{'A': 'BM25 over a 100M-passage Wikipedia-only corpus, max 512 words per passage.', 'B': 'Contriever over a 500M CommonCrawl corpus, no length limit per passage.', 'C': 'DRAGON+ over a 400M-passage corpus built from Wikipedia and CommonCrawl, with each passage under 200 words.', 'D': 'ColBERTv2 over a 1B mixed-domain corpus, up to 300 words per passage.'}",C,We follow the work of Lin et al. (2024) to use Wikipedia dumps and CommonCrawl dumps to create a retrieval corpus with 400 million passages. Each passage contains less than 200 words. We use the DRAGON+ model as our retriever and use the implementation of Izacard et al. (2023a) to retrieve the K-nearest neighbors.,"['recursive_chunk_037', 'recursive_chunk_037', 'recursive_chunk_007']",C,['recursive_chunk_037'],False,True,True,0.637
dense,recursive,2,40,"In the strong-retriever setting at equal latency, how are passages allocated between REFRAG and LLaMA, and what average performance change is observed?","{'A': 'Both use 10 passages; REFRAG lags LLaMA by 0.71% on average.', 'B': 'REPRAG uses 1 passage and LLaMA 8; REFRAG leads by 1.22% on average.', 'C': 'REFRAG uses 8 passages and LLaMA 1; REFRAG leads by 1.22% on average.', 'D': 'REFRAG uses 4 passages and LLaMA 4; performance is identical on average.'}",C,"With a strong retriever and a maximum of 10 passages, REFRAG matches LLaMA’s performance while achieving a 5.26× speedup in TTFT.
At equal latency (8 passages for REFRAG vs. 1 for LLaMA), REFRAG attains a 1.22% average improvement across 16 RAG tasks.","['recursive_chunk_031', 'recursive_chunk_039', 'recursive_chunk_040']",C,['recursive_chunk_040'],False,True,True,0.613
dense,recursive,2,41,How does the REFRAG framework handle input from retrieved passages to improve decoding efficiency?,"{'A': 'It exclusively uses the full token sequences from all retrieved passages as direct input for the decoder.', 'B': 'It fine-tunes the LLM architecture to better process sparse attention patterns from RAG inputs.', 'C': 'It utilizes pre-computed, compressed chunk embeddings as approximate representations of the passages, feeding these directly into the decoder.', 'D': 'It relies on a reinforcement learning policy to re-rank passages and only feeds the top-ranked passage to the decoder.'}",C,"REFRAG makes several novel modifications to the decoding process: Instead of using tokens from retrieved passages as input, REFRAG leverages pre-computed, compressed chunk embeddings as approximate representations, feeding these embeddings directly into the decoder. This approach offers three main advantages: 1) It shortens the decoder's input length, improving token allocation efficiency; 2) It enables reuse of pre-computed chunk embeddings from retrieval, eliminating redundant computation; and 3) It reduces attention computation complexity, which now scales quadratically with the number of chunks rather than the number of tokens in the context.","['recursive_chunk_031', 'recursive_chunk_032', 'recursive_chunk_033']",C,"['recursive_chunk_031', 'recursive_chunk_032']",False,True,False,0.639
dense,recursive,2,42,What is the primary objective of the reconstruction task in the continual pre-training recipe for REFRAG?,"{'A': 'To train the decoder to generate more fluent and coherent text.', 'B': 'To align the encoder and projection layer so the decoder can accurately interpret compressed chunk embeddings and reconstruct the original information.', 'C': 'To increase the parametric memory of the model for better performance on downstream tasks.', 'D': 'To reduce the overall perplexity of the model on the pre-training dataset.'}",B,"Reconstruction task. We input the first s tokens x1:s to the encoder and learn to reconstruct tokens x1:s in the decoder. In this task, we freeze the decoder model and only train the encoder and projection layer. The main objectives are to align the encoder and projection layer so that: 1) encoder can compress k tokens with minimal information loss, and 2) projection layer can effectively map the encoder's chunk embeddings into the decoder's token space, allowing the decoder to interpret and accurately reconstruct the original information.","['recursive_chunk_029', 'recursive_chunk_029', 'recursive_chunk_029']",B,['recursive_chunk_029'],False,True,False,0.649
dense,recursive,2,43,How does REFRAG's selective compression mechanism decide which context chunks to leave uncompressed?,"{'A': 'It randomly selects a fixed percentage of chunks to expand.', 'B': 'It uses a heuristic based on the semantic similarity of chunks to the initial query.', 'C': 'It employs a reinforcement learning policy that uses next-paragraph prediction perplexity as a negative reward to determine which chunks to expand.', 'D': 'It expands the chunks that have the highest token count to preserve the most information.'}",C,"Selective compression REFRAG introduces selective token compression, expanding important context chunks uncompressed to improve answer prediction. A RL policy, guided by next-paragraph prediction perplexity as a negative reward, determines which chunks to retain in their original form. The encoder and decoder are fine-tuned to handle mixed inputs of compressed and uncompressed chunks.","['recursive_chunk_032', 'recursive_chunk_023', 'recursive_chunk_030']",C,['recursive_chunk_030'],False,True,False,0.483
dense,recursive,2,44,What advantage does REFRAG have over models like CEPE in multi-turn RAG or summarization tasks?,"{'A': 'REFRAG requires significantly less memory for its key-value cache.', 'B': 'REFRAG can be applied to prefix context applications without disrupting the causal structure.', 'C': 'REFRAG is the first to enable pre-computation of chunk embeddings and their use at arbitrary positions within the prompt.', 'D': 'REFRAG achieves a lower time-to-first-token latency by using a more efficient attention mechanism.'}",C,"In contrast, our work is the first to enable pre-computation of chunk embeddings and their use at arbitrary positions within the prompt, supporting diverse applications such as RAG and multi-turn conversation. Furthermore, our method learns where to apply compression, allowing for adaptive compression rates at inference time without recomputing chunk embeddings.","['recursive_chunk_014', 'recursive_chunk_023', 'recursive_chunk_040']",D,"['recursive_chunk_014', 'recursive_chunk_023']",False,False,True,0.639
dense,recursive,2,45,What was a key finding when comparing the performance of REFRAG with a compression rate of 16 (REFRAG16) against a natively trained model with a compression rate of 8 (REFRAG8)?,"{'A': 'REFRAG8 consistently outperformed REFRAG16 with RL-based selective compression.', 'B': 'Both approaches performed identically, showing that the compression rate is the only factor.', 'C': 'REFRAG16 using RL-based selective compression to achieve an effective rate of 8 consistently outperformed the natively trained REFRAG8.', 'D': 'The RL-based policy for REFRAG16 was unable to match the performance of the natively trained REFRAG8.'}",C,This raises a natural question: does the former approach outperform the latter? Table 13 demonstrates that REFRAG16 with RL-based selective compression consistently outperforms REFRAG8 across different datasets and context lengths.,"['recursive_chunk_032', 'recursive_chunk_030', 'recursive_chunk_031']",C,"['recursive_chunk_031', 'recursive_chunk_030']",False,True,True,0.49
dense,recursive,2,46,"In the context of Retrieval-Augmented Generation (RAG), what specific structural characteristic of the input context does REFRAG exploit to eliminate unnecessary computations?","{'A': 'The high degree of semantic similarity between all retrieved passages.', 'B': 'The sequential and autoregressive nature of standard LLM generation tasks.', 'C': 'The predominantly zero cross-attention between unrelated context chunks from diverse retrieved passages.', 'D': 'The inherent redundancy created by the initial retrieval process that REFRAG deduplicates.'}",C,"Due to diversity and other operations such as deduplication, most context chunks during decoding are unrelated, resulting in predominantly zero cross-attention between chunks (see figure 7).","['recursive_chunk_000', 'recursive_chunk_007', 'recursive_chunk_032']",C,['recursive_chunk_007'],False,True,True,0.835
dense,recursive,2,47,"According to the paper's analysis, how does the time-to-first-token (TTFT) latency scale with increasing prompt length in conventional Large Language Models?","{'A': 'It increases linearly.', 'B': 'It increases quadratically.', 'C': 'It remains constant regardless of prompt length.', 'D': 'It increases logarithmically.'}",B,"Moreover, the time-to-first-token (TTFT) latency increases quadratically, while the time-to-iterative-token (TTIT) latency grows linearly with prompt length (Liu et al., 2025). As a result, LLM inference throughput degrades with larger contexts, limiting their applicability in scenarios demanding high throughput and low latency, such as web-scale discovery.","['recursive_chunk_073', 'recursive_chunk_004', 'recursive_chunk_071']",B,['recursive_chunk_004'],False,True,True,0.529
dense,recursive,2,48,What is the role of curriculum learning in the training process of the REFRAG model?,"{'A': 'It is used to fine-tune the model for specific downstream tasks like RAG and summarization.', 'B': 'It helps the model to gradually acquire complex skills by incrementally increasing the difficulty of the reconstruction and pre-training tasks.', 'C': 'It is a technique to reduce the memory footprint during training by processing smaller chunks first.', 'D': 'It is primarily used to train the reinforcement learning policy for selective compression.'}",B,"To address the optimization challenge, we propose employing curriculum learning for both tasks. Curriculum learning incrementally increases task difficulty, enabling the model to gradually and effectively acquire complex skills. For the reconstruction task, training begins with reconstructing a single chunk: the encoder receives one chunk embedding c1 for x1:k and and the decoder reconstructs the k tokens using the projected chunk embedding e_ink.","['recursive_chunk_029', 'recursive_chunk_029', 'recursive_chunk_029']",B,['recursive_chunk_029'],False,True,False,0.534
dense,recursive,2,49,How did REFRAG perform in a weak retriever scenario compared to a standard LLaMA model when given the same number of retrieved passages?,"{'A': 'It underperformed LLaMA because the compressed context lost crucial information from the less relevant passages.', 'B': 'It matched the performance of LLaMA but with significantly higher latency.', 'C': 'It outperformed LLaMA because its ability to handle a larger context allowed it to extract more useful information from the noisy retrieved set.', 'D': 'The performance was identical, as both models struggled equally with the irrelevant passages.'}",C,"The result demonstrates that under the same number of retrieved passages, we are able to match the performance of LLaMA in the strong retriever setting and even outperform LLaMA under the weak retriever setting. This is because our model enables larger context and hence enables extract more useful information when the retrieved passages are less relevant.","['recursive_chunk_031', 'recursive_chunk_031', 'recursive_chunk_031']",C,['recursive_chunk_031'],False,True,True,0.642
dense,recursive,2,50,What happens to the computational complexity of the attention mechanism in REFRAG due to its design?,"{'A': 'It remains quadratic with the number of tokens in the context.', 'B': 'It becomes linear with the number of tokens in the context.', 'C': 'It scales quadratically with the number of compressed chunks rather than the number of tokens.', 'D': 'It is reduced to a constant time complexity through pre-computation.'}",C,"It reduces attention computation complexity, which now scales quadratically with the number of chunks rather than the number of tokens in the context.","['recursive_chunk_032', 'recursive_chunk_033', 'recursive_chunk_013']",C,['recursive_chunk_013'],False,True,False,0.516
dense,recursive,2,51,What decoding-time attention pattern is induced in RAG contexts due to diversity and deduplication during re-ranking?,"{'A': 'Dense cross-attention uniformly linking every chunk to every other chunk.', 'B': 'Strictly local sliding-window attention across all tokens regardless of chunk boundaries.', 'C': 'Predominantly zero cross-attention between unrelated chunks, yielding block-diagonal structure.', 'D': 'Global cross-attention from every chunk to the query with uniform weights.'}",C,"3) Unusually Structured and Sparse Attention. Due to diversity and other operations such as deduplication, most context chunks during decoding are unrelated,
resulting in predominantly zero cross-attention between chunks (see figure 7).","['recursive_chunk_001', 'recursive_chunk_006', 'recursive_chunk_093']",C,"['recursive_chunk_001', 'recursive_chunk_006', 'recursive_chunk_093']",False,True,True,0.61
dense,recursive,2,52,Which benefit of feeding pre-computed chunk embeddings directly to the decoder most directly reduces attention computation complexity?,"{'A': 'Eliminating positional encodings from the decoder stack.', 'B': 'Increasing the decoder’s vocabulary size to absorb more context.', 'C': 'Making attention scale with the number of chunks rather than the number of tokens in the context.', 'D': 'Replacing self-attention with cross-attention to token embeddings as in CEPE.'}",C,"REFRAG leverages pre-computed, compressed chunk embeddings as approximate representations, feeding these embeddings directly into the decoder.
This approach offers three main advantages: 1) It shortens the decoder’s input length… 2) It enables reuse of pre-computed chunk embeddings… and
3) It reduces attention computation complexity, which now scales quadratically with the number of chunks rather than the number of tokens in the context.","['recursive_chunk_012', 'recursive_chunk_007', 'recursive_chunk_008']",C,['recursive_chunk_008'],False,True,True,0.599
dense,recursive,2,53,"In REFRAG’s architecture, how are chunk embeddings aligned to the decoder’s token embedding space before decoding?","{'A': 'By adding rotary positional encodings to each chunk embedding.', 'B': 'By averaging chunk embeddings with the query’s token embeddings.', 'C': 'By projecting each chunk embedding with a learnable layer ϕ to match the decoder’s token embedding size.', 'D': 'By concatenating raw chunk embeddings directly into the KV cache without transformation.'}",C,"The encoder model then processes all the chunks to obtain a chunk embedding for each chunk ci = Menc(Ci).
This chunk embedding is then projected with a projection layer ϕ to match the size of the token embedding of the decoder model,
ecnk_i = ϕ(ci).","['recursive_chunk_007', 'recursive_chunk_007', 'recursive_chunk_007']",X,[],True,False,,0.599
dense,recursive,2,54,"According to the theoretical analysis, what is the maximum acceleration achievable for TTFT at longer context lengths with compression rate k?","{'A': 'log k', 'B': '√k', 'C': 'Up to k²', 'D': 'k/2'}",C,"Theoretical analysis (appendix A) shows that for short context lengths, our method achieves up to k× acceleration in TTFT and throughput.
For longer context length, acceleration reaches up to k2× for both metrics.","['recursive_chunk_013', 'recursive_chunk_013', 'recursive_chunk_013']",C,['recursive_chunk_013'],False,True,True,0.615
dense,recursive,2,55,"During the reconstruction task used to align encoder and decoder, which components are updated?","{'A': 'Only the decoder parameters are trained while the encoder is frozen.', 'B': 'Only the encoder is trained and the projection layer is discarded.', 'C': 'The encoder and the projection layer are trained while the decoder is frozen.', 'D': 'All modules (encoder, decoder, and projection) are jointly fine-tuned.'}",C,"Reconstruction task. We input the first s tokens x1:s to the encoder and learn to reconstruct tokens x1:s in the decoder.
In this task, we freeze the decoder model and only train the encoder and projection layer.
The main objectives are to align the encoder and projection layer…","['recursive_chunk_011', 'recursive_chunk_016', 'recursive_chunk_033']",C,['recursive_chunk_016'],False,True,True,0.555
dense,recursive,2,56,Why is curriculum learning applied to the reconstruction and continual pre-training tasks in REFRAG?,"{'A': 'To shrink the model by pruning layers without hurting perplexity.', 'B': 'To switch from unsupervised to fully supervised training mid-course.', 'C': 'To address optimization challenges after direct pre-training failed to reduce perplexity by gradually increasing task difficulty.', 'D': 'To change the retriever’s loss from contrastive to generative.'}",C,"Counterintuitively, directly continuing pre-training of the decoder to utilize encoder outputs did not reduce perplexity, even for the reconstruction task.
To address the optimization challenge, we propose employing curriculum learning for both tasks.
Curriculum learning incrementally increases task difficulty, enabling the model to gradually and effectively acquire complex skills.","['recursive_chunk_029', 'recursive_chunk_029', 'recursive_chunk_029']",C,['recursive_chunk_029'],False,True,False,0.548
dense,recursive,2,57,What signal guides the reinforcement learning policy when deciding which chunks to expand uncompressed?,"{'A': 'Token-level negative log-likelihood on the current output tokens.', 'B': 'Next-token entropy estimated by the decoder’s softmax.', 'C': 'Next-paragraph prediction perplexity used as a negative reward.', 'D': 'Beam search scores averaged over candidate continuations.'}",C,"Selective compression REFRAG introduces selective token compression, expanding important context chunks uncompressed…
A RL policy, guided by next-paragraph prediction perplexity as a negative reward, determines which chunks to retain in their original form.
The encoder and decoder are fine-tuned to handle mixed inputs of compressed and uncompressed chunks.","['recursive_chunk_076', 'recursive_chunk_077', 'recursive_chunk_008']",B,"['recursive_chunk_077', 'recursive_chunk_008']",False,False,False,0.739
dense,recursive,2,58,"When targeting an effective compression rate of 8, which approach performed better across datasets and context lengths?","{'A': 'REFRAG8 trained with full compression at rate 8.', 'B': 'CEPE with heuristic chunk pruning.', 'C': 'REFRAG16 with RL-based selective compression achieving rate 8 without recomputing embeddings.', 'D': 'LLaMA-32K using naive truncation to match token count.'}",C,"This raises a natural question: does the former approach outperform the latter?
Table 13 demonstrates that REFRAG16 with RL-based selective compression consistently outperforms REFRAG8 across different datasets and context lengths.
These results further highlight the effectiveness of the RL-trained policy…","['recursive_chunk_030', 'recursive_chunk_023', 'recursive_chunk_032']",C,"['recursive_chunk_030', 'recursive_chunk_023']",False,True,True,0.44
dense,recursive,2,59,"Under a strong retriever, at equal latency, which configuration yields an average 1.22% improvement across 16 RAG tasks?","{'A': 'LLaMA with 8 passages versus REFRAG with 1 passage.', 'B': 'REFRAG and LLaMA both with 1 passage each.', 'C': 'REFRAG with 8 passages versus LLaMA with 1 passage.', 'D': 'LLaMA-32K with 80 passages versus REFRAG with 8 passages.'}",C,"With a strong retriever and a maximum of 10 passages, REFRAG matches LLaMA’s performance while achieving a 5.26× speedup in TTFT.
At equal latency (8 passages for REFRAG vs. 1 for LLaMA), REFRAG attains a 1.22% average improvement across 16 RAG tasks.","['recursive_chunk_039', 'recursive_chunk_040', 'recursive_chunk_042']",C,['recursive_chunk_040'],False,True,True,0.571
dense,recursive,2,60,What limitation of CEPE makes it unsuitable for tasks like multi-turn RAG or summarization?,"{'A': 'It requires massive retriever pre-training on billions of documents.', 'B': 'It compresses tokens into discrete codes that cannot be decoded.', 'C': 'It is limited to prefix context and disrupts the causal structure of the context.', 'D': 'It lacks any mechanism to reduce KV-cache memory during decoding.'}",C,"CEPE (Yen et al., 2024) employs cross-attention to token embeddings from context tokens, reducing both KV cache memory and attention computations.
However, CEPE is limited to prefix context applications, as it disrupts the causal structure of the context,
making it unsuitable for tasks such as multi-turn RAG or summarization.","['recursive_chunk_014', 'recursive_chunk_048', 'recursive_chunk_074']",C,['recursive_chunk_048'],False,True,True,0.634
dense,recursive,2,61,Which benefit does representing retrieved context as projected chunk embeddings provide during decoding?,"{'A': 'It increases the size of the key–value cache to preserve more cross-attention states.', 'B': 'It requires adding new decoder layers to handle compressed inputs.', 'C': 'It reduces attention computation by letting complexity scale with the number of chunks rather than the number of tokens.', 'D': 'It prevents the model from handling multi-turn inputs due to loss of causal structure.'}",C,"This approach offers three main advantages: 1) It
shortens the decoder’s input length, improving token allocation efficiency; 2) It enables reuse of pre-computed
chunk embeddings from retrieval, eliminating redundant computation; and 3) It reduces attention computation
complexity, which now scales quadratically with the number of chunks rather than the number of tokens in
the context.","['recursive_chunk_007', 'recursive_chunk_007', 'recursive_chunk_007']",C,['recursive_chunk_007'],False,True,True,0.879
dense,recursive,2,62,How does time-to-first-token (TTFT) acceleration scale with the compression rate k for short versus long contexts?,"{'A': 'It is constant for short contexts and linear for long contexts.', 'B': 'It scales quadratically for short contexts and linearly for long contexts.', 'C': 'It scales up to k× for short contexts and up to k²× for long contexts.', 'D': 'It scales exponentially for short contexts and logarithmically for long contexts.'}",C,"Theoretical analysis (appendix A) shows that for short context lengths, our method achieves up to k×
acceleration in TTFT and throughput. For longer context length, acceleration reaches up to k2× for both
metrics. Empirically, as shown in figure 2, with a context length of 16384 (mid-to-long context), REFRAG
with k = 16 achieves 16.53× TTFT acceleration with cache and 8.59× without cache1, both surpassing
CEPE (2.01× and 1.04×, respectively), while achieving 9.3% performance (measured by perplexity) compared
to CEPE (table 1).","['recursive_chunk_013', 'recursive_chunk_013', 'recursive_chunk_013']",C,['recursive_chunk_013'],False,True,True,0.576
dense,recursive,2,63,"When a fraction p of chunks is expanded (left uncompressed), what is the effective compression rate for the remaining decoder input?","{'A': 'k · (1 − p)', 'B': 'k / (1 + p)', 'C': 'k / (1 − p + k p)', 'D': '(k − p) / (1 + k)'}",C,"Figure 3 presents the performance of various methods for selective compression. We expand p fraction of the
chunks in the original token space using the RL policy. The effective compression rate k

1−p+kp decreases when
fewer chunks are compressed (i.e., p increases).","['recursive_chunk_024', 'recursive_chunk_110', 'recursive_chunk_029']",C,['recursive_chunk_024'],False,True,True,0.565
dense,recursive,2,64,"During the reconstruction task used in continual pre-training, which components are trained and which are frozen?","{'A': 'Only the decoder is trained while the encoder and projection are frozen.', 'B': 'Both the encoder and decoder are trained while the projection is frozen.', 'C': 'The encoder and projection are trained while the decoder is frozen.', 'D': 'All components are frozen to regularize the reconstruction objective.'}",C,"Reconstruction task. We input the first s tokens x1:s to the encoder and learn to reconstruct tokens x1:s in
the decoder. In this task, we freeze the decoder model and only train the encoder and projection layer. The
main objectives are to align the encoder and projection layer so that: 1) encoder can compress k tokens with
minimal information loss, and 2) projection layer can effectively map the encoder’s chunk embeddings into the
decoder’s token space, allowing the decoder to interpret and accurately reconstruct the original information.","['recursive_chunk_029', 'recursive_chunk_029', 'recursive_chunk_029']",X,[],True,False,,0.375
dense,recursive,2,65,Why is curriculum learning employed for REFRAG’s reconstruction and continual pre-training tasks?,"{'A': 'To reduce GPU memory by training on progressively smaller vocabularies.', 'B': 'To permit mixed-precision arithmetic without affecting perplexity.', 'C': 'To manage the exponential growth in token combinations with larger k and the difficulty of reconstructing s = k×L tokens from only L chunk embeddings.', 'D': 'To align the encoder with the retriever by distilling dense retrieval scores.'}",C,"Curriculum learning. The training tasks described in the previous section may seem straightforward, but they
are inherently complex. As the chunk length k increases, the number of possible token combinations expands
exponentially, specifically at a rate of V k, where V is the vocabulary size. Additionally, reconstructing s = k×L tokens
from L chunk embeddings further compounds the difficulty of the task.","['recursive_chunk_029', 'recursive_chunk_029', 'recursive_chunk_029']",C,['recursive_chunk_029'],False,True,False,0.546
dense,recursive,2,66,What limitation prevents CEPE from supporting multi-turn RAG or summarization tasks?,"{'A': 'It requires much larger encoders than the decoder, causing overfitting.', 'B': 'It eliminates retrieval and relies solely on parametric memory.', 'C': 'It disrupts the causal structure of the context and is limited to prefix-only applications.', 'D': 'It compresses tokens so aggressively that gradients vanish during training.'}",C,"CEPE (Yen et al., 2024) employs cross-attention to token embeddings from context tokens, reducing both KV cache
memory and attention computations. However, CEPE is limited to prefix context applications, as it disrupts the causal
structure of the context, making it unsuitable for tasks such as multi-turn RAG or summarization. Additionally, CEPE
does not utilize token compression, resulting in similar or even increased decoding latency.","['recursive_chunk_048', 'recursive_chunk_053', 'recursive_chunk_000']",C,['recursive_chunk_048'],False,True,True,0.505
